flight_id,flight_no,time_departure,city,airport,flight_time,delay_time,d_coordinates,a_coordinates,airplane,count_seats,count_tickets,total_amount,fare_conditions,seat_no,amount
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,10C,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,10D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,10E,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,11A,13400.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,11B,13400.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,11C,13400.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,11E,13400.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,11F,13400.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,12A,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,12B,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,12C,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,12D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13A,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13B,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13C,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13E,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,13F,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,14A,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,14B,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,14D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,14E,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,14F,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,15B,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,15C,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,15D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,15E,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,15F,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16A,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16B,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16C,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16D,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16E,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,16F,12200.00
136119,PG0252,2017-01-03T10:05:00Z,Москва,SVO,100.0,1.0,37.3473014831539984:45.002101898192997,37.4146000000000001:55.9725990000000024,Boeing 737-300,130,113,1653000.00,Economy,17A,12200.00
