datetime,parsing_unixtime,card,region,dealerName,sell_id,car_url,price,description,image,bodyType,color,engine,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,Владельцы,ПТС,Привод,Руль,Состояние,Таможня,public_date,nview,model_name_full,equipment_dict,confDict,card_type,brand,model_name,model_name2,name,sellerName
2021-04-15 12:02:58.180198+03:00,1618477378.0,Haval H6 2014-2020,Азнакаево,Диалог Авто Азнакаево,№ 1103122045,https://auto.ru/cars/used/sale/haval/h6/1103122045-25e3ef58/,1 310 000 ₽,"Комплектация:✅-Климат-контроль 2-зонный✅-Круиз-контроль✅-Автоматическая КПП✅-Подушки безопасности✅-Штатная автомагнитола✅-Полный электропакет✅-Передний привод✅-На гарантии✅-Кожаный салон✅-Противотуманные фары✅-Мульти руль✅БОЛЕЕ 100 АВТОМОБИЛЕЙ В НАЛИЧИИ🚘❗✅Гарантия юридической чистоты;✅Все автомобили после технической и компьютерной диагностики по 110 пунктам⚙️🛠️🔍;✅Возможность приобрести автомобиль в кредит всего по двум документам - паспорт и водительское удостоверение (либо второй документ, удостоверяющий личность), в том числе БЕЗ ПЕРВОНАЧАЛЬНОГО ВЗНОСА;✅ОН-ЛАЙН ЗАЯВКА НА КРЕДИТ 💵☎️❗✅Оформление полисов ОСАГО и КАСКО;✅Выкуп и обмен Вашего автомобиля в день обращения;✅Поможем продать Ваш автомобиль быстро и без комиссии. Деньги сразу после продажи.✅ПОДАРОЧНАЯ КАРТА ПРИ ПОКУПКЕ АВТОМОБИЛЯ С ПРОБЕГОМ НА 50 000 РУБЛЕЙ💵❗ !",https://avatars.mds.yandex.net/get-autoru-vos/2069437/f201db71637506cc7aa43d0747a9eb8f/1200x900n,внедорожник 5 дв.,серый,1.5 л / 143 л.с. / Бензин,1.5 л , 143 л.с. , Бензин,48 000 км,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,Растаможен,9 апреля,126,Haval H6,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/2069437/f201db71637506cc7aa43d0747a9eb8f/1200x900', 'km-age': 48000, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H6', 'modelName': 'H6', 'power': 143, 'price': 1310000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2019}",{},Б/у,Haval,H6,2014-2020,1.5 AT (143 л.с.),
2021-04-15 12:02:58.644852+03:00,1618477378.0,Haval H6 2014-2020,Краснодар,Юг-Авто Эксперт Яблоновский,№ 1102485103,https://auto.ru/cars/used/sale/haval/h6/1102485103-706394e9/,1 169 000 ₽,"______________________________________________________________- В наличии более 400 автомобилей!- Гарантирована выгода при обмене на Ваш авто от 30 000 рублей!- Подберем лучшие условия для Вас среди 15 банков-партнеров + гарантирована скидка при покупке  в кредит.- Каждый автомобиль прошел диагностику!- На этот автомобиль мы готовы предложить дополнительную техническую гарантию!- Мы полностью поддерживаем меры, выработанные правительством страны для сохранения вашего здоровья. [hhocach:21590]",https://avatars.mds.yandex.net/get-autoru-vos/4219430/7e40bad35937fb7d381e9cb639b4c1da/1200x900n,внедорожник 5 дв.,коричневый,1.5 л / 143 л.с. / Бензин,1.5 л , 143 л.с. , Бензин,25 314 км,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,Растаможен,9 апреля,600,Haval H6,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4219430/7e40bad35937fb7d381e9cb639b4c1da/1200x900', 'km-age': 25314, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H6', 'modelName': 'H6', 'power': 143, 'price': 1169000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2019}",{},Б/у,Haval,H6,2014-2020,1.5 AT (143 л.с.),
2021-04-15 12:02:58.068799+03:00,1618477378.0,Haval H2 2014-2020, ЕлизаровскаяНовочеркасская,РОЛЬФ Октябрьская | Автомобили с пробегом,№ 1102720584,https://auto.ru/cars/used/sale/haval/h2/1102720584-a32e23ea/,774 060 ₽,"В РОЛЬФ Октябрьская | Автомобили с пробегом всегда найдётся то, что Вам нужно. У нас Вы можете приобрести Haval H2 на выгодных условиях.В нашем дилерском центре: ✅ Все автомобили проходят технический осмотр, комплексную диагностику и предпродажную подготовку.✅ Гарантия юридической чистоты каждого автомобиля и прозрачности сделки.✅ Более 600 автомобилей разных сегментов.✅ Огромный выбор дополнительного оборудования.✅ Индивидуальные программы кредитования для ВАС среди 15 самых авторитетных и проверенных банков-партнеров.✅ Возможность обменять на свой авто по программе трейд-ин.✅ Полное документальное сопровождение сделки.✅ Содержание автомобилей в закрытом паркинге. ✅ Полный спектр услуг при покупке автомобиля с пробегом: страхование, техническое обслуживание и ремонт, установка дополнительного оборудования.Мы рады видеть Вас каждый день с 9:00 до 22:00 в нашем дилерском центре по адресу: Санкт-Петербург, Октябрьская наб. 8 к.2",https://avatars.mds.yandex.net/get-autoru-vos/4327443/cec7b36f4a37ca6defa96873bd205ef3/1200x900n,внедорожник 5 дв.,чёрный,1.5 л / 150 л.с. / Бензин,1.5 л , 150 л.с. , Бензин,107 999 км,2016,механическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,Растаможен,11 апреля,985,Haval H2,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4327443/cec7b36f4a37ca6defa96873bd205ef3/1200x900', 'km-age': 107999, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H2', 'modelName': 'H2', 'power': 150, 'price': 774060, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'MECHANICAL', 'type': 'suv', 'year': 2016}",{},Б/у,Haval,H2,2014-2020,1.5 MT (150 л.с.),
2021-04-15 12:02:57.285048+03:00,1618477377.0,Haval H6 2014-2020,Тула,КорсАвто Тула,№ 1102821671,https://auto.ru/cars/used/sale/haval/h6/1102821671-462a5648/,799 000 ₽,".Внимание! Кредит без первоначального взноса! От 8.9% годовых. Банк ВТБ. Звоните!Этот автомобиль доступен для вашего просмотра на крытой, теплой, освещенной площадке с 9 до 20 часов.  Обсуждаем взаимовыгодные условия покупки! Звоните!Автомобиль продается компанией КОРСАВТО входящий в ГК КорсГрупп. В наличии более 800 проверенных автомобилей с пробегом.Автомобиль прошел комплексную техническую диагностику и полную проверку юридической чистоты.Обмен Вашего а/м с пробегом по системе Trade In на особых условиях со скидкой до 50000 рублей.Покупка а/м в кредит за 1 день.Покупка авто с пробегом в кредит без первоначального взноса  и без справок.Комплектация:• Антиблокировочная система• Антипробуксовочная система• Система курсовой устойчивости• Система предотвращения столкновения• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Центральный замок• Бортовой компьютер• Гидро усилитель руля• Регулировка руля• Электрорегулировка сиденья водителя• Электрорегулировка сиденья пассажира• Электростеклоподъемники передние и задние• Электропривод зеркал• Климат-контроль• Подогрев сидений водителя и пассажира• Обогрев заднего стекла• Мультифункциональное рулевое колесо• Кожаная обивка салона• Темный салон• Литые легкосплавные диски• Размер дисков 15″• Задние тонированные стекла• ПТС• Свидетельство о регистрации• Руководство• Треугольник• Домкрат• 2 комплекта ключей• Комплект резиновых ковриков",https://avatars.mds.yandex.net/get-autoru-vos/4194268/199f08e3ca840b07d21958947bf35686/1200x900n,внедорожник 5 дв.,чёрный,2.0 л / 143 л.с. / Дизель,2.0 л , 143 л.с. , Дизель,144 167 км,2014,механическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,Растаможен,12 апреля,670,Haval H6,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'DIESEL', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4194268/199f08e3ca840b07d21958947bf35686/1200x900', 'km-age': 144167, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H6', 'modelName': 'H6', 'power': 143, 'price': 799000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'MECHANICAL', 'type': 'suv', 'year': 2014}","{'category': 'cars', 'mark': 'HAVAL', 'model': 'H6', 'state': 'used', 'class': 'J', 'type': 'suv', 'segment': 'MEDIUM', 'group': 'family', 'power': 143, 'year': 2014}",Б/у,Haval,H6,2014-2020,2.0d MT (143 л.с.) 4WD,
2021-04-15 12:02:58.235443+03:00,1618477378.0,Haval H6 2014-2020,Санкт-Петербург,Тойота Центр Волхонский,№ 1103163787,https://auto.ru/cars/used/sale/haval/h6/1103163787-b795f4f5/,935 000 ₽,"ПОКУПАЙТЕ Haval H6  2016гв. У ОФИЦИАЛЬНОГО ДИЛЕРА✔ ПТС ОРИГИНАЛ✔ ХОРОШАЯ КОМПЛЕКТАЦИЯ✔ БЕЗ ДТП✔ В ОТЛИЧНОМ СОСТОЯНИИ✔ ДОПОЛНИТЕЛЬНАЯ СКИДКА ПРИ ЗАЧЁТЕ НА ВАШ АВТОМОБИЛЬ✔ ДОПОЛНИТЕЛЬНАЯ СКИДКА ПРИ ПОКУПКЕ В КРЕДИТПродавец – крупнейший официальный дилер TOYOTA & LEXUS в Санкт-Петербурге.Более 400 а/м в наличии.📌Первоначальный взнос от 0%📌Процентная ставка от 8,8%📌Кредит по двум документам📌Одобрение кредита за 1 час и выдача автомобиля день в день📌 Рассмотрение в 10 банках партнерах📌 Лучшие тарифы КАСКО, ОСАГО, ГТО📌Продление заводской гарантии на автомобильВсе автомобили с пробегом доступны к просмотруежедневно с 9:00, до 21:00.",https://avatars.mds.yandex.net/get-autoru-vos/3570143/eee454f711d02ebc3a49151fe86e1a30/1200x900n,внедорожник 5 дв.,серый,1.5 л / 143 л.с. / Бензин,1.5 л , 143 л.с. , Бензин,118 487 км,2016,механическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,13 апреля,225,Haval H6,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/3570143/eee454f711d02ebc3a49151fe86e1a30/1200x900', 'km-age': 118487, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H6', 'modelName': 'H6', 'power': 143, 'price': 935000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'MECHANICAL', 'type': 'suv', 'year': 2016}",{},Б/у,Haval,H6,2014-2020,1.5 MT (143 л.с.) 4WD,
2021-04-15 12:02:58.020975+03:00,1618477378.0,Haval F7 I, Площадь МарксаСтуденческая,Автомир Премиум Новосибирск,№ 1102987788,https://auto.ru/cars/used/sale/haval/f7/1102987788-647e2076/,1 750 000 ₽,Комплектация:• Антиблокировочная система• Система курсовой устойчивости• Боковые передние подушки безопасности• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Парктроник задний• Камера заднего вида• Датчик света• Датчик дождя• Электро усилитель руля• Система доступа без ключа• Электрорегулировка сиденья водителя• Электрорегулировка сиденья пассажира• Электростеклоподъемники передние• Электропривод зеркал• Климат-контроль 1-зонный• Подогрев сидений• Подогрев руля• Обогрев зеркал• Обогрев лобового стекла• Обогрев зоны стеклоочистителей• DVD• Bluetooth• Тканевая обивка салона• Темный салон• Тонированные стекла• Противотуманные фары• Домкрат• Комплект резиновых ковриков• Полноразмерное запасное колесо,https://avatars.mds.yandex.net/get-autoru-vos/3922519/fec6a22680c6a39b187bb2cda1e38800/1200x900n,внедорожник 5 дв.,синий,2.0 л / 190 л.с. / Бензин,2.0 л , 190 л.с. , Бензин,17 225 км,2019,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,9 апреля,120,Haval F7 I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/3922519/fec6a22680c6a39b187bb2cda1e38800/1200x900', 'km-age': 17225, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'F7', 'modelName': 'F7', 'power': 190, 'price': 1750000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2019}",{},Б/у,Haval,F7,I,2.0 AMT (190 л.с.) 4WD,
2021-04-15 12:03:00.985873+03:00,1618477380.0,Haval F7x I, Сходненская,РОЛЬФ Северо-Запад | Автомобили с пробегом,№ 1102994118,https://auto.ru/cars/used/sale/haval/f7x/1102994118-3fa0c715/,1 670 000 ₽,"Ваш выбор и Ваше время — наши главные приоритеты. Поэтому в РОЛЬФ Северо-Запад | Автомобили с пробегом мы предлагаем Вам индивидуальные условия на приобретение Haval F7x с пробегом.Специально для Вас:✅ Более 1 500 проверенных автомобилей с пробегом на площади 27 000 кв.м. ✅ Более 50 брендов в различных ценовых категориях.✅ Кредитование в более чем 10 банков-партнёров.✅ Все виды страхования автомобилей.✅ Услуги ГИБДД (поставка на учет, прекращение учета, сохранение государственных знаков).✅ Гарантия до 2 лет на автомобили различных марок.✅ Юридическая чистота и безопасность сделки.✅ Онлайн-консультация по интересующему вас автомобилю.✅ Онлайн-бронирование и предоплата автомобилей.✅ Дистанционно-бесконтактный осмотр автомобиля.✅ Запись на сервисное обслуживание.РОЛЬФ Северо-Запад | Автомобили с пробегом.⭐ №1 по продажам автомобилей с пробегом в России*по данным АвтоБизнесРевюМы рады видеть Вас ежедневно с 10:00 до 22:00 по адресу: Москва, 71-й километр, 16А, МКАД.",https://avatars.mds.yandex.net/get-autoru-vos/4473469/77e77419acbcfac94e08204196c77d4b/1200x900n,внедорожник 5 дв.,белый,1.5 л / 150 л.с. / Бензин,1.5 л , 150 л.с. , Бензин,1 887 км,2020,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,10 апреля,683,Haval F7x I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4473469/77e77419acbcfac94e08204196c77d4b/1200x900', 'km-age': 1887, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'F7X', 'modelName': 'F7x', 'power': 150, 'price': 1670000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2020}",{},Б/у,Haval,F7x,I,1.5 AMT (150 л.с.) 4WD,
2021-04-15 12:02:58.846724+03:00,1618477378.0,Haval F7 I,Пермь,VERRA Автомобили с пробегом,№ 1103107922,https://auto.ru/cars/used/sale/haval/f7/1103107922-7b7c25af/,1 550 000 ₽,"- фициальный дилер Toyota, Lexus, Porsche. - Проведена диагностика по 136 пунктам, гарантия на каждый автомобиль, берем на себя ответственность за техническое состояние и юридическую чистоту.- Прямая финансовая выгода при обмене до 100 тысяч рублей.- Ставка по кредиту от 8,8%, аванс от 0%, срок до 72 месяцев.- Оплата по банковской карте без комиссии и ограничения по сумме.- Возможность осмотра на подъемнике и экспертной проверки кузова толщиномером.",https://avatars.mds.yandex.net/get-autoru-vos/4391738/558a95263fb4ea17fc6a67d00cb0990f/1200x900n,внедорожник 5 дв.,чёрный,1.5 л / 150 л.с. / Бензин,1.5 л , 150 л.с. , Бензин,48 838 км,2019,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,Растаможен,8 апреля,117,Haval F7 I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4391738/558a95263fb4ea17fc6a67d00cb0990f/1200x900', 'km-age': 48838, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'F7', 'modelName': 'F7', 'power': 150, 'price': 1550000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2019}",{},Б/у,Haval,F7,I,1.5 AMT (150 л.с.),
2021-04-15 12:03:00.707837+03:00,1618477380.0,Haval F7 I,Краснодар,Юг-Авто Эксперт Яблоновский,№ 1102805873,https://auto.ru/cars/used/sale/haval/f7/1102805873-47686a2b/,1 580 000 ₽,"______________________________________________________________- В наличии более 400 автомобилей!- Гарантирована выгода при обмене на Ваш авто от 30 000 рублей!- Подберем лучшие условия для Вас среди 15 банков-партнеров + гарантирована скидка при покупке  в кредит.- Каждый автомобиль прошел диагностику!- На этот автомобиль мы готовы предложить дополнительную техническую гарантию!- Мы полностью поддерживаем меры, выработанные правительством страны для сохранения вашего здоровья. [hhcdhoh:46318]",https://avatars.mds.yandex.net/get-autoru-vos/1989100/900c6bb5bdbab58510f4ca10f04f578c/1200x900n,внедорожник 5 дв.,белый,2.0 л / 190 л.с. / Бензин,2.0 л , 190 л.с. , Бензин,13 139 км,2019,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,7 апреля,620,Haval F7 I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/1989100/900c6bb5bdbab58510f4ca10f04f578c/1200x900', 'km-age': 13139, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'F7', 'modelName': 'F7', 'power': 190, 'price': 1580000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2019}",{},Б/у,Haval,F7,I,2.0 AMT (190 л.с.) 4WD,
2021-04-15 12:03:00.515515+03:00,1618477380.0,Haval H9 I, ПражскаяЮжная,АвтоПассаж Премиум Land Rover,№ 1103174140,https://auto.ru/cars/used/sale/haval/h9/1103174140-474999bc/,2 130 000 ₽,"Автомобиль Haval H9  от официального дилера Jaguar Land Rover ООО ""Автопассаж Премиум"".Полный комплект всех ключей и документов. Гарантия юридической чистоты и прозрачности сделки.Новый задний бампер прилагаетсяМы гарантируем, что автомобиль не находится в розыске и не является предметом залога.Мы поможем обменять Ваш автомобиль на максимально выгодных для вас условиях.Наши специалисты помогут Вам подобрать оптимальные условия по приобретению автомобиля в том числе и с учетом Trade-in, кредита и прочих условий.Мы не являемся посредниками: принимая ваш автомобиль в счет стоимости вашего будущего авто, мы заключаем договор купли-продажи с переходом права собственности.Приезжайте за своим новым автомобилем с пробегомКомплектация:• Антиблокировочная система• Антипробуксовочная система• Подушки безопасности• Система крепления детских автокресел• Иммобилайзер• Центральный замок• Бортовой компьютер• Круиз-контроль• Камера• Датчик света• Датчик дождя• Усилитель руля• Запуск двигателя с кнопки• Регулировка руля• Регулировка сиденья водителя• Регулировка сиденья пассажира• Климат-контроль• Навигационная система• Кожаная обивка салона",https://avatars.mds.yandex.net/get-autoru-vos/3570143/2839c6834373416814ba5b309f7c20ef/1200x900n,внедорожник 5 дв.,чёрный,2.0 л / 245 л.с. / Бензин,2.0 л , 245 л.с. , Бензин,63 733 км,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,13 апреля,213,Haval H9 I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/3570143/2839c6834373416814ba5b309f7c20ef/1200x900', 'km-age': 63733, 'mark': 'HAVAL', 'markName': 'Haval', 'model': 'H9', 'modelName': 'H9', 'power': 245, 'price': 2130000, 'routeCategory': 'cars', 'segment': 'MEDIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2017}",{},Б/у,Haval,H9,I,2.0 AT (245 л.с.) 4WD,
