datetime,parsing_unixtime,card,region,dealerName,sell_id,car_url,price,description,image,bodyType,color,engine,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,Владельцы,ПТС,Привод,Руль,Состояние,Таможня,public_date,nview,model_name_full,equipment_dict,confDict,card_type,brand,model_name,model_name2,name,sellerName
2021-04-15 16:28:32.836300+03:00,1618493312.0,Porsche Cayenne I Рестайлинг (957),Ульяновск,Авторай-Эксперт,№ 1103103824,https://auto.ru/cars/used/sale/porsche/cayenne/1103103824-080b55ab/,665 000 ₽,"Автомобиль прошёл комплексную диагностику.Юридически проверен — не в розыске, не в угоне, не в залоге, не вкредите, свободен от штрафов. Готов к осмотру и тест-драйву!Гарантируем, что мы не скручиваем пробег!Все сделки юридически прозрачны и подкреплены договором.Хотите больше выбора? Добро пожаловать в «Авторай-ЭКСПЕРТ»: более 300*авто с пробегом самых разных марок ждут вас, новые поступления каждыйдень — принимаем ежедневно до 10 свежих авто!ООО «Авторай-ЭКСПЕРТ» — эксперты по всем вопросам подержанныхавтомобилей. У нас можно: купить автомобиль; продать автомобиль;получить профессиональную консультацию по любым вопросам покупки илипродажи автомобиля.Ваш автомобиль уже заждался вас. Звоните прямо сейчас!*По состоянию на 5 апреля 2021 года.**Количество собственников в технических характеристиках объявленияуказывается согласно данных ГИБДД и соответствуют количествусобственников, ставивших автомобиль на учет.Ваш автомобиль уже заждался вас. Звоните прямо сейчас!#cmecMTIxMi1XUDFaWlo5UFo4TEEyMTkwOF9SRC0wMTk0Mg==-- [hhafaih:11202]",https://avatars.mds.yandex.net/get-autoru-vos/1597789/41b5c99754536ed0a416968846f1aeaa/1200x900n,внедорожник 5 дв.,серый,3.6 л / 290 л.с. / Бензин,3.6 л , 290 л.с. , Бензин,216 712 км,2008,автоматическая,3 или более,Дубликат,полный,Левый,Не требует ремонта,Растаможен,8 апреля,745,Porsche Cayenne I Рестайлинг (957),"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/1597789/41b5c99754536ed0a416968846f1aeaa/1200x900', 'km-age': 216712, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'CAYENNE', 'modelName': 'Cayenne', 'power': 290, 'price': 665000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2008}",{},Б/у,Porsche,Cayenne,I Рестайлинг (957),3.6 AT (290 л.с.) 4WD,
2021-04-15 16:28:32.188791+03:00,1618493312.0,Porsche Panamera I, Строгиностанция Пенягино,Fresh Auto Москва,№ 1102978872,https://auto.ru/cars/used/sale/porsche/panamera/1102978872-33b7b8b4/,1 850 000 ₽,Автомобиль ввезен на территорию РФ в 2018 году.Дополнительные опции:- Премиальная аудиосистема  Burmester- Камера заднего вида- Люк с электроприводом- Электропривод и память передних сидений- Черный потолок- Бесключевой доступ в салон и запуск двигателя- Пневмоподвеска- Обогрев заднего ряда сидений- Электропривод руля- Датчики дождя и света- Круиз-контроль      081241.Кредит от 8%Первоначальный взнос от 0%Более 20 банков-партнеровВаш автомобиль может быть первоначальным взносомОформление за 30 минутПо двум документамБез справок и поручителейБез скрытых платежей и комиссийВозможна дистанционная подача заявки на кредитБолее подробная информация на сайте Fresh auto [hhedieh:66071],https://avatars.mds.yandex.net/get-autoru-vos/1987375/a96262956083632af6d0193ee4905bcf/1200x900n,хэтчбек 5 дв.,чёрный,4.8 л / 500 л.с. / Бензин,4.8 л , 500 л.с. , Бензин,128 030 км,2009,роботизированная,3 или более,Дубликат,полный,Левый,Не требует ремонта,Растаможен,8 апреля,2614,Porsche Panamera  I Turbo,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/1987375/a96262956083632af6d0193ee4905bcf/1200x900', 'km-age': 128030, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'PANAMERA', 'modelName': 'Panamera', 'power': 500, 'price': 1850000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': '', 'year': 2009}",{},Б/у,Porsche,Panamera,I,Turbo 4.8 AMT (500 л.с.) 4WD,
2021-04-15 16:28:34.811266+03:00,1618493314.0,Porsche Macan I, ЛеснаяВыборгская,РОЛЬФ Автопрайм | Автомобили с пробегом,№ 1102809442,https://auto.ru/cars/used/sale/porsche/macan/1102809442-8fe57d5b/,3 759 287 ₽,"Не тратьте время на поиски. Уже сегодня Вы сможете уехать от нас на новом Porsche Macan с пробегом от официального дилера. РОЛЬФ Автопрайм | Автомобили с пробегом предлагает Вам более 500 надежных и проверенных автомобилей с пробегом на оптимальных условиях. ⭐ Гарантия 2 года.⭐ Обмен Вашего автомобиля⭐ Кредит от 6,9% годовых.⭐ Работаем до последнего клиента.☎ У Вас появились вопросы по автомобилю? Мы готовы проконсультировать Вас ежедневно с 9:00 до 21:00. Автомобиль находится по адресу: Санкт-Петербург, Полюстровский пр, д. 68А, ДЦ РОЛЬФ РЕНО. Специально для Вас: ✅ Кредит: оформление за 2 часа по 2 документам.✅ Трейд-ин: сдайте нам Ваш автомобиль и получите преимущество.✅ Страхование: специальные условия на оформление КАСКО и ОСАГО. ⭐РОЛЬФ — официальный дилер.Продаем и обслуживаем автомобили с 1991 года.",https://avatars.mds.yandex.net/get-autoru-vos/4035980/2004e4a10c4f082875410b4478e91695/1200x900n,внедорожник 5 дв.,чёрный,2.0 л / 252 л.с. / Бензин,2.0 л , 252 л.с. , Бензин,13 834 км,2018,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,6 апреля,1817,Porsche Macan I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4035980/2004e4a10c4f082875410b4478e91695/1200x900', 'km-age': 13834, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'MACAN', 'modelName': 'Macan', 'power': 252, 'price': 3759287, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2018}",{},Б/у,Porsche,Macan,I,2.0 AMT (252 л.с.) 4WD,
2021-04-15 16:28:31.658046+03:00,1618493311.0,Porsche Cayenne I Рестайлинг (957), БурнаковскаяКанавинская,АвтоДом на Куйбышева,№ 1102887889,https://auto.ru/cars/used/sale/porsche/cayenne/1102887889-2f21ea3a/,1 088 000 ₽,"СПЕЦПРЕДЛОЖЕНИЕ: ВЫГОДА ПО ""Trade-in"" ДО 40 000 РУБЛЕЙ!!! КРЕДИТ  БЕЗ ЗАЛОГА ПТС И С МИНИМАЛЬНЫМ КАСКО!Автомобиль имеет отличное техническое состояние и безупречный внешний вид, чистый и ухоженный салон.- Автомобили, проверенные и подготовленные официальным дилером Subaru и Suzuki- Дистанционное одобрение кредита всего по 2-м документам- Ставки от 2,5%- Прием вашего авто в зачет первого взноса- Оценка и выкуп в день обращения- 100% гарантия юридической чистоты и честность в информации по автомобилюАвтомобиль полностью исправен по двигателю, подвеске и ходовой части, кроме того проверена и трансмиссия.  В этом вы можете убедиться лично, мы предоставим Вам осмотр на подъемнике.В АвтоДоме на Куйбышева открыты к любому диалогу. Для удобства осмотра выбранного Вами автомобиля, просто позвоните нашим менеджерам, и они оформят бронь до вашего прибытия.* Для Вашего удобства наличие автомобиля, комплектацию и точную стоимость узнайте у  нашего менеджера, по телефону.#cme597-EC9BA* [hhdacoc:42043]",https://avatars.mds.yandex.net/get-autoru-vos/4364158/c0e47094505173d76833a921673ed8ae/1200x900n,внедорожник 5 дв.,оранжевый,4.8 л / 405 л.с. / Бензин,4.8 л , 405 л.с. , Бензин,163 005 км,2008,автоматическая,3 или более,Дубликат,полный,Левый,Не требует ремонта,Растаможен,6 апреля,1040,Porsche Cayenne  I Рестайлинг (957) GTS,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4364158/c0e47094505173d76833a921673ed8ae/1200x900', 'km-age': 163005, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'CAYENNE', 'modelName': 'Cayenne', 'power': 405, 'price': 1088000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2008}",{},Б/у,Porsche,Cayenne,I Рестайлинг (957),GTS 4.8 AT (405 л.с.) 4WD,
2021-04-15 16:28:31.862210+03:00,1618493311.0,Porsche Panamera I,Краснодар,Ауди Центр Кубань,№ 1103107613,https://auto.ru/cars/used/sale/porsche/panamera/1103107613-e6f02fe7/,2 380 000 ₽,"!БЕСПРЕЦЕДЕНТНАЯ АКЦИЯ! При сдаче нам вашего автомобиля с пробегом в trade-in, или при покупке автомобиля с использованием дополнительных финансовых услуг, скидка на приобретаемый у нас  автомобиль с пробегом может составить до 100 000 рублей.А при соблюдении двух условий (покупка нашего автомобиля с использованием дополнительных финансовых услуг с обменом на ваш автомобиль)  скидка может составить до 200 000 рублей!Размер предоставляемой скидки зависит от согласованной стоимости и параметров сдаваемого и приобретаемого автомобиля и  условий банков-партнеров.Подробности в отделе продаж автомобилей с пробегом ААА моторс...!КУПИМ ВАШ АВТОМОБИЛЬ ДАЖЕ ЕСЛИ ВЫ НЕ КУПИТЕ НАШ!..Официальный дилер купит Ваш автомобиль. Любой марки.Мы сделаем гарантировано лучшее предложение по трейд-ин на новый автомобиль или автомобиль с пробегом.7 причин приобрести автомобиль у нас. 1) Гарантированная скидка на новый или подержанный автомобиль при сдаче в зачет своего автомобиля.2) Экономите время и нервы, связанные с реализацией авто (подготовка, показы автомобилей, поездки в сервис, финансовые риски)3) У нас больше ресурсов для его реализации – кредит, выкуп, обмен на новый, обмен на автомобиль с пробегом. При этом Вы получаете свои деньги сразу!4) Мы знаем как продать Ваш автомобиль дороже!5) Вы устанавливаете ценообразование и правила сделки.6) Мы гарантируем юридическую чистоту сделки.7) Мы проводим диагностику и предпродажную подготовку.Ведь Вам именно это и нужно!!!#cme68-17021519... [hhfhibe:65120]",https://avatars.mds.yandex.net/get-autoru-vos/4077479/52c605871f0f5081eee1e34348e9daad/1200x900n,хэтчбек 5 дв.,белый,3.6 л / 300 л.с. / Бензин,3.6 л , 300 л.с. , Бензин,96 402 км,2013,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,8 апреля,588,Porsche Panamera  I 4,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4077479/52c605871f0f5081eee1e34348e9daad/1200x900', 'km-age': 96402, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'PANAMERA', 'modelName': 'Panamera', 'power': 300, 'price': 2380000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': '', 'year': 2013}",{},Б/у,Porsche,Panamera,I,4 3.6 AMT (300 л.с.) 4WD,
2021-04-15 16:28:34.408462+03:00,1618493314.0,Porsche Macan I, ДомодедовскаяЗябликово,Звезда Столицы Mercedes-Benz Каширка,№ 1102900418,https://auto.ru/cars/used/sale/porsche/macan/1102900418-4c036340/,3 318 000 ₽,"Не соглашайтесь на меньшее. Апрель — время выгодных покупок в официальном дилерском центре — РОЛЬФ Звезда Столицы Каширка.У нас Вы можете приобрести Porsche Macan на особых условиях:✅ В наличии более 200 автомобилей с пробегом.✅ Специальные условия при обмене на Ваш автомобиль по программе трейд-ин.✅ Автокредит от 11,8% по двум документам одобрение за 1 час*✅ Гарантия юридической чистоты.✅ Все автомобили прошли комплексную диагностику.✅ Широкий ассортимент дополнительного оборудования.__* Кредитная ставка зависит от параметров автомобиля, срока кредитования, страхования и размера первоначального взноса.",https://avatars.mds.yandex.net/get-autoru-vos/4473469/93e4a6e7db915eccb943d49aee3c3013/1200x900n,внедорожник 5 дв.,серый,2.0 л / 252 л.с. / Бензин,2.0 л , 252 л.с. , Бензин,70 411 км,2017,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,7 апреля,732,Porsche Macan I,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4473469/93e4a6e7db915eccb943d49aee3c3013/1200x900', 'km-age': 70411, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'MACAN', 'modelName': 'Macan', 'power': 252, 'price': 3318000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2017}",{},Б/у,Porsche,Macan,I,2.0 AMT (252 л.с.) 4WD,
2021-04-15 16:28:32.266472+03:00,1618493312.0,Porsche Cayenne Coupe I, Речной вокзалХоврино,Porsche Центр Москва,№ 1103108439,https://auto.ru/cars/used/sale/porsche/cayenne_coupe/1103108439-6c3ba5d4/,10 216 600 ₽,"Порше Центр Москва - единственный дилер Porsche в России, принадлежащий Porsche AG, предоставляет полный набор услуг по продаже и сервисному обслуживанию автомобилей Porsche.#cmecMjExLThFOWVFTGo=Порше Центр Москва - единственный дилер Porsche в России, принадлежащий Porsche AG, предоставляет полный набор услуг по продаже и сервисному обслуживанию автомобилей Porsche.Цвет кузова:  Белый металлик (Carrara White)Внутреннее оснащение:  Двухцветный кожаный салон Черный / Красный (Black / Bordeaux Red), в комбинации с другими материалами    Вентиляция передних сидений    Датчики системы помощи при парковке спереди и сзади, включая камеру кругового обзора    Дополнительное освещение салона    Затемненные светодиодные задние фонари и световая полоса    Зеркала заднего вида (снаружи и в салоне) с функцией автоматического затемнения    Клапан TPM окрашен в черный цвет (Black)    Комфортный доступ    Крышка отсека для хранения на центральной консоли с логотипом модели    Крышки ступиц с цветным гербом Porsche    Матричные светодиодные фары, включая систему динамического освещения Porsche (PDLS Plus)    Многофункциональное спортивное рулевое колесо с отделкой карбоном, включая подогрев    Отсутствие обозначения модели, логотип ""PORSCHE"" окрашен в черный матовый цвет    Пакет отделки элементов салона карбоном    Подголовники передних и задних сидений с тиснением герба Porsche    Проекция на лобовое стекло    Рычаг КПП Exclusive Design    Система объемного звучания BOSE®    Система подруливания задних колес    Спортивная выхлопная система с черными насадками выхлопных труб    Стекла с тепло- и звукоизоляцией и тонированным остеклением Privacy    Топливный бак объемом 90 л    Электромеханические доводчики дверей    18-позиционные адаптивные спортивные сиденья с интегрированными подголовниками и функцией памяти    22-дюймовые диски Cayenne Sport Classic, окрашенные в черный цвет (глянец), с расширителями колесных арок в цвет кузова    8-ступенчатая автоматическая коробка передач Tiptronic S.В нашем дилерском центре Вы сможете ознакомиться с модельным рядом автомобилей Porsche, записаться на тест-драйв. Наши сертифицированные специалисты помогут Вам подобрать автомобиль Вашей мечты.Вас ждут отличные предложения:- Специальные кредитные программы- Большой выбор автомобилей в наличии- Возможность покупки автомобиля Porsche одним днем- Программы водительского мастерства Porsche Driving Center Russia- Удобная услуга trade-in, предоставляющая дополнительные привилегии на приобретаемый автомобильМы всегда рады видеть Вас в числе своих друзей и клиентов.В нашем дилерском центре Вы сможете ознакомиться с модельным рядом автомобилей Porsche, записаться на тест-драйв. Наши сертифицированные специалисты помогут Вам подобрать автомобиль Вашей мечты.Вас ждут отличные предложения:- Специальные кредитные программы- Большой выбор автомобилей в наличии- Возможность покупки автомобиля Porsche одним днём- Программы водительского мастерства Porsche Driving Center Russia- Удобная услуга trade-in, предоставляющая дополнительные привилегии на приобретаемый автомобильМы всегда рады видеть Вас в числе своих друзей и клиентов.",https://avatars.mds.yandex.net/get-autoru-vos/4402921/8a900f61075e68c84a5d857c5c9cb3f9/1200x900n,внедорожник 5 дв.,белый,2.9 л / 440 л.с. / Бензин,2.9 л , 440 л.с. , Бензин,19 500 км,2019,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,8 апреля,49,Porsche Cayenne Coupe  I S,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4402921/8a900f61075e68c84a5d857c5c9cb3f9/1200x900', 'km-age': 19500, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'CAYENNE_COUPE', 'modelName': 'Cayenne Coupe', 'power': 440, 'price': 10216600, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2019}","{'category': 'cars', 'mark': 'PORSCHE', 'model': 'CAYENNE_COUPE', 'state': 'new', 'class': 'J', 'type': 'suv', 'segment': 'PREMIUM', 'group': 'business', 'power': 440, 'year': 2019}",Б/у,Porsche,Cayenne Coupe,I,S 2.9 AT (440 л.с.) 4WD,
2021-04-15 16:28:33.951657+03:00,1618493313.0,Porsche Macan I,Красноярск,Автосалон Центральный Премиум,№ 1103106016,https://auto.ru/cars/used/sale/porsche/macan/1103106016-bda3ebb5/,2 590 000 ₽,"Услуги автосалона ""Центральный Премиум"":_____________________________________Мы Вас ждём! Адрес: г. Красноярск ул. Партизана Железняка 46""А"" с 9.00-20.00 понедельник-суббота, 10.00-19.00 воскресенье._______________________________КРЕДИТОВАНИЕ________________________________Этот автомобиль Вы можете приобрести в кредит. ОБМЕН________________________________Продать свой автомобиль по системе Trade- in в счет оплаты другого.ОПЛАТА________________________________Возможны любые виды расчетов (наличный, безналичный)СТРАХОВАНИЕ________________________________Вы можете получить услуги по всем видам страхования (ОСАГО, КАСКО)ОФОРМЛЕНИЕ________________________________При покупке автомобиля Вам подготовят полный пакет документов для регистрации автомобиля в ГИБДД.ВЫКУП АВТОМОБИЛЯ________________________________Срочный выкуп Вашего автомобиля в течении 30 минут.Чтобы посмотреть все автомобили нашего автосалона нажмите на ""Карточка продавца:Автосалон Центральный Premium""Обмен: на более дорогую, на равноценную, на более дешевуюОбмен: на более дорогую, на равноценную, на более дешевую",https://avatars.mds.yandex.net/get-autoru-vos/4763630/cc2e96f18494818426843323d62c437d/1200x900n,внедорожник 5 дв.,коричневый,3.0 л / 340 л.с. / Бензин,3.0 л , 340 л.с. , Бензин,100 000 км,2014,роботизированная,2 владельца,Оригинал,полный,Левый,Не требует ремонта,Растаможен,8 апреля,187,Porsche Macan  I S,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4763630/cc2e96f18494818426843323d62c437d/1200x900', 'km-age': 100000, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'MACAN', 'modelName': 'Macan', 'power': 340, 'price': 2590000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'ROBOT', 'type': 'suv', 'year': 2014}",{},Б/у,Porsche,Macan,I,S 3.0 AMT (340 л.с.) 4WD,
2021-04-15 16:28:33.904638+03:00,1618493313.0,Porsche Cayenne III,Москва,МБ-Измайлово,№ 1103103541,https://auto.ru/cars/used/sale/porsche/cayenne/1103103541-3c2c2b22/,5 849 000 ₽,"ID: 45845- Автомобиль прошел комплексную диагностику- Проведена предпродажная подготовка- Гарантия юридической чистоты- Возможна оплата наличным и безналичным платежом- Оформление кредита по двум документам- Обмен Вашего автомобиля на новыйВыплатим кредит за Ваш автомобиль.Автомобиль куплен у официального дилера  01.11.2018г.ПТС оригинал, год выпуска в ПТС 2018г.Обслуживание в соответствии  регламента.Сервисная книжка в наличииАвтомобиль на гарантии до 31.10.2020г.Два комплекта  ключей.Дополнительно установлено : Защита картера, ковры в салонВоспользуйтесь нашей услугой по подбору  автомобиля от официального дилера!Комплектация:• Антиблокировочная система• Антипробуксовочная система• Система курсовой устойчивости• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Оконные шторки безопасности• Иммобилайзер• Центральный замок• Бортовой компьютер• Круиз-контроль• Парктроник передний и задний• Камера заднего вида• Датчик света• Датчик дождя• Гидро усилитель руля• Регулировка руля в двух плоскостях• Электрорегулировка сиденья водителя• Электрорегулировка сиденья пассажира• Электростеклоподъемники передние• Электропривод зеркал• Климат-контроль 2-зонный• Подогрев сидений водителя и пассажира• Обогрев зеркал• Навигационная система• CD• Кожаная обивка салона• Литые легкосплавные диски• Тонированные стекла• Биксеноновые фары• Противотуманные фары",https://avatars.mds.yandex.net/get-autoru-vos/3933340/9414b00c7866e98120b0c8f917a88b46/1200x900n,внедорожник 5 дв.,белый,3.0 л / 340 л.с. / Бензин,3.0 л , 340 л.с. , Бензин,39 645 км,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,8 апреля,858,Porsche Cayenne III,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/3933340/9414b00c7866e98120b0c8f917a88b46/1200x900', 'km-age': 39645, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'CAYENNE', 'modelName': 'Cayenne', 'power': 340, 'price': 5849000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2018}",{},Б/у,Porsche,Cayenne,III,3.0 AT (340 л.с.) 4WD,
2021-04-15 16:28:32.582065+03:00,1618493312.0,Porsche Cayenne Coupe I, Козья слободаЯшьлек,Porsche Центр Казань,№ 1103101745,https://auto.ru/cars/used/sale/porsche/cayenne_coupe/1103101745-9dc68693/,9 300 000 ₽,[hhfhboi:59635],https://avatars.mds.yandex.net/get-autoru-vos/4211830/e26aea86afde75e286e6339c3ada07b4/1200x900n,внедорожник 5 дв.,белый,2.9 л / 440 л.с. / Бензин,2.9 л , 440 л.с. , Бензин,5 306 км,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,Растаможен,8 апреля,329,Porsche Cayenne Coupe  I S,"{'asciiCat': 'cars', 'category': 'cars', 'engine-type': 'GASOLINE', 'image': 'https://avatars.mds.yandex.net/get-autoru-vos/4211830/e26aea86afde75e286e6339c3ada07b4/1200x900', 'km-age': 5306, 'mark': 'PORSCHE', 'markName': 'Porsche', 'model': 'CAYENNE_COUPE', 'modelName': 'Cayenne Coupe', 'power': 440, 'price': 9300000, 'routeCategory': 'cars', 'segment': 'PREMIUM', 'state': 'used', 'transmission': 'AUTOMATIC', 'type': 'suv', 'year': 2019}","{'category': 'cars', 'mark': 'PORSCHE', 'model': 'CAYENNE_COUPE', 'state': 'new', 'class': 'J', 'type': 'suv', 'segment': 'PREMIUM', 'group': 'business', 'power': 440, 'year': 2019}",Б/у,Porsche,Cayenne Coupe,I,S 2.9 AT (440 л.с.) 4WD,
